epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1602.13,1.92167,2.8489,1.08855,0.15809,0.3607,0.11291,0.06076,1.65649,2.20504,1.0443,0.000370233,0.000370233,0.000370233
2,3090.94,1.76959,2.28279,1.03647,0.15109,0.38656,0.11367,0.06176,1.6154,2.16583,1.04247,0.00066725,0.00066725,0.00066725
3,4556.58,1.70944,2.14502,1.02364,0.16215,0.41422,0.12512,0.06899,1.5689,2.0705,1.02963,0.000890941,0.000890941,0.000890941
4,6075.5,1.67799,2.07387,1.01647,0.15955,0.43714,0.12634,0.06974,1.53554,2.0646,1.02512,0.000781033,0.000781033,0.000781033
5,7633.11,1.63606,2.01739,1.00645,0.15953,0.42588,0.12418,0.06907,1.53448,2.04816,1.02737,0.000671044,0.000671044,0.000671044
6,9039.25,1.59883,1.97355,0.99826,0.16031,0.44991,0.12988,0.07279,1.49308,2.01099,1.019,0.000561055,0.000561055,0.000561055
7,10459.8,1.57411,1.95144,0.99402,0.16207,0.45887,0.13189,0.07573,1.47586,2.01929,1.01503,0.000451066,0.000451066,0.000451066
8,11864.9,1.56072,1.9338,0.98924,0.16073,0.44484,0.12936,0.07321,1.50316,1.9826,1.02876,0.000341077,0.000341077,0.000341077
9,13340.9,1.53982,1.91773,0.98354,0.16384,0.4636,0.13268,0.0772,1.46639,1.97617,1.0225,0.000231088,0.000231088,0.000231088
10,14860.3,1.50669,1.89224,0.98114,0.16204,0.46561,0.1307,0.0753,1.46428,1.98253,1.02394,0.000121099,0.000121099,0.000121099
